Overall,Name,Nation,AKA
71,Juan Ramírez,Argentina,
71,Ignacio Ramírez,Uruguay,
71,Juanpe,Spain,
71,Luca Ravanelli,Italy,
71,Federico Redondo,Argentina,
71,Ferro,Portugal,
71,Pablo Santos,Brazil,
71,Radim Řezník,Czech Republic,
71,Federico Ricca,Uruguay,
71,Matteo Ricci,Italy,
71,Renaud Ripart,France,
71,Jesús David Rivas,Colombia,
71,Dmytro Riznyk,Ukraine,
71,Patrick Roberts,England,
71,Kirian,Spain,
71,Yonathan Rodríguez,Uruguay,
71,Alan Rodríguez,Uruguay,
71,Davy Roef,Belgium,
71,Mads Roerslev,Denmark,
71,Marko Rog,Croatia,
71,Agustín Rogel,Uruguay,
71,Marcus Rohdén,Sweden,
71,Ariel Rojas,Argentina,
71,Maximiliano Romero,Argentina,
71,Kelle Roos,Netherlands,
71,Iván Rossi,Argentina,
71,Joe Rothwell,England,
71,Patricio Rubio,Chile,
71,Miguel Rubio,Spain,
71,John Ruddy,England,
71,Modibo Sagnan,France,
71,Borja Sainz,Spain,
71,Koki Saito,Japan,
71,Hamza Sakhi,Morocco,
71,Bartosz Salamon,Poland,
71,Víctor Salazar,Argentina,
71,Freddy Salazar,Colombia,
71,Tobias Salquist,Denmark,
71,Junior Sambia,France,
71,Matisse Samoise,Belgium,
71,Francisco Moura,Portugal,
71,Mario Sampirisi,Italy,
71,Carlos Sánchez,Colombia,
71,Ricard,Spain,
71,Arouna Sangante,Senegal,
71,Rúben Fernandes,Portugal,
71,Aitor Sanz,Spain,
71,Marcelo Saracchi,Uruguay,
71,Yusuf Sarı,Turkey,
71,Bouna Sarr,Senegal,
71,Vincent Sasso,France,
71,Joan Sastre,Spain,
71,Andreas Schjelderup,Norway,
71,Fabian Schleusener,Germany,
71,Niklas Schmidt,Germany,
71,David Schnegg,Austria,
71,Rasmus Schüller,Finland,
71,Simone Scuffet,Italy,
71,Mats Seuntjens,Netherlands,
71,Shin Jin Ho,Korea Republic,
71,Otabek Shukurov,Uzbekistan,
71,Abdallah Sima,Senegal,
71,David Simão,Portugal,
71,Dimitrios Siovas,Greece,
71,Ibrahim Sissoko,France,
71,Tim Skarke,Germany,
71,Michał Skóraś,Poland,
71,Eric Smith,Sweden,
71,Tommy Smith,England,
71,Hrvoje Smolčić,Croatia,
71,Brandon Soppy,France,
71,Santiago Sosa,Argentina,
71,Matías Soulé,Argentina,
71,Hélder Costa,Angola,
71,Kamal Sowah,Ghana,
71,Ali Sowe,Gambia,
71,Dayne St. Clair,Canada,
71,Jason Steele,England,
71,Vladimir Stojković,Serbia,
71,Carlos Strandberg,Sweden,
71,Callum Styles,Hungary,
71,Cristián Suárez,Chile,
71,Alex Suárez,Spain,
71,Sam Surridge,England,
71,Gastón Suso,Argentina,
71,Stratos Svarnas,Greece,
71,Mile Svilar,Serbia,
71,Mamadou Sylla,Senegal,
71,Oleksandr Syrota,Ukraine,
71,Tang Miao,China PR,
71,Iván Tapia,Argentina,
71,Stanislav Tecl,Czech Republic,
71,Bryan Teixeira,Cape Verde Islands,
71,Mathys Tel,France,
71,Renzo Tesuri,Argentina,
71,Benjamin Tetteh,Ghana,
71,Isaac Kiese Thelin,Sweden,
71,Brandon Thomas,Spain,
71,Erik Thommy,Germany,
71,Jón Dagur Þorsteinsson,Iceland,
71,Mads Døhr Thychosen,Denmark,
71,Frederik Tingager,Denmark,
71,Anton Tinnerholm,Sweden,
71,Harry Toffolo,England,
71,John Tolkin,United States,
71,Nouhou,Cameroon,
71,Lorenzo Tonelli,Italy,
71,Ernesto Torregrossa,Venezuela,
71,Ahmed Touba,Algeria,
71,El Bilal Touré,Mali,
71,Conor Townsend,England,
71,James Trafford,England,
71,Adama Traoré,Mali,
71,Luca Tremolada,Italy,
71,Ruan,Brazil,
71,Zlatko Tripić,Norway,
71,Sondre Tronstad,Norway,
71,William Troost-Ekong,Nigeria,
71,Franco Troyansky,Argentina,
71,Scott Twine,England,
71,Anthony Ujah,Nigeria,
71,Jere Uronen,Finland,
71,Gerard Valentín,Spain,
71,Emanuele Valeri,Italy,
71,Yan Valery,Tunisia,
71,Mattia Valoti,Italy,
71,Mitchell van Bergen,Netherlands,
71,Jan Paul van Hecke,Netherlands,
71,Leonel Vangioni,Argentina,
71,Zinho Vanheusden,Belgium,
71,Juan Pablo Vargas,Costa Rica,
71,Jhonny Vásquez,Colombia,
71,Larry Vásquez,Colombia,
71,Devis Vásquez,Colombia,
71,Luis Vázquez,Argentina,
71,Jesús Vázquez,Spain,
71,Stefano Vecchia,Sweden,
71,Ronaldo Vieira,England,
71,João Teixeira,Portugal,
71,Lucas Villafañez,Argentina,
71,Gonzalo Villar,Spain,
71,Nicolas Viola,Italy,
71,Michel Vlap,Netherlands,
71,Murray Wallace,Scotland,
71,Rémi Walter,France,
71,Wang Dalei,China PR,
71,Andreas Weimann,Austria,
71,Tomáš Wiesner,Czech Republic,
71,Joe Willis,United States,
71,Ben Wilmot,England,
71,Hannes Wolf,Austria,
71,Mert Hakan Yandaş,Turkey,
71,Jerry Yates,England,
71,Leny Yoro,France,
71,Élie Youan,France,
71,Alessandro Zanoli,Italy,
71,Alessio Zerbin,Italy,
71,Jeroen Zoet,Netherlands,
71,Ainhoa Alguacil,Spain,
71,Joelle Anderson,United States,
71,Anaëlle Anglais,France,
71,Naomie Bamenga,France,
71,Kiara Beck,Germany,
71,Natalie Beckman,United States,
71,Guro Bergsvand,Norway,
71,Hannah Betfort,United States,
71,Kerstin Bogenschütz,Germany,
71,Barbara Brecht,Germany,
71,Esmee Brugts,Netherlands,
71,Solène Champagnac,France,
71,Mikayla Cluff,United States,
71,Lotta Cordes,Germany,
71,Yana Daniëls,Belgium,
71,Julia Debitzki,Germany,
71,Hillary Diaz,France,
71,Vanessa Diehm,Germany,
71,Petra Divišová,Czech Republic,
71,Julie Doyle,United States,
71,Maria Edwards,England,
71,Maddie Elwell,United States,
71,Sophie Fournier,Germany,
71,Sonia Majarín,Spain,
71,Maryne Gignoux,France,
71,Luisa Guttenberger,Germany,
71,Elvira Herzog,Switzerland,
71,Marie Höbinger,Austria,
71,Rebecca Holloway,Northern Ireland,
71,Rofiat Imuran,Nigeria,
71,Sarah Jankovska,Denmark,
71,Emma Jansson,Sweden,
71,Jelena Karličić,Montenegro,
71,Sam Kerr,Scotland,
71,Kristin Krammer,Austria,
71,Kathrine Kühl,Denmark,
71,Savannah Madden,United States,
71,Ena Mahmutovic,Germany,
71,Marina Martí,Spain,
71,Olivia Mbala,Canada,
71,Phoebe McClernon,United States,
71,Teresa Mérida,Spain,
71,Ari Mingueza,Spain,
71,María Molina,Spain,
71,Marlene Müller,Germany,
71,Esther Okoronkwo,Nigeria,
71,Xènia Pérez,Spain,
71,Alayah Pilgrim,Switzerland,
71,Allegra Poljak,Serbia,
71,Gabby Provenzano,United States,
71,Gio Queiroz,Brazil,
71,Maïwen Renard,France,
71,Izzy Rodriguez,United States,
71,Fatma Sakar,Germany,
71,Delanie Sheehan,United States,
71,Marissa Sheva,Republic of Ireland,
71,Kysha Sylla,France,
71,Frankie Tagliaferri,United States,
71,Lena Uebach,Germany,
71,Roos van der Veen,Netherlands,
71,Rosa van Gool,Netherlands,
71,Soraya Verhoeve,Netherlands,
71,Ricarda Walkling,Germany,
71,Clare Wheeler,Australia,
71,Reena Wichmann,Germany,
71,Shae Yáñez,United States,
71,Aleksandra Zaremba,Spain,
70,Abdelkabir Abqar,Morocco,
70,Ragnar Ache,Germany,
70,Lucas Acosta,Argentina,
70,Kasim Adams Nuhu,Ghana,
70,Junior Adamu,Austria,
70,Sargis Adamyan,Armenia,
70,Claud Adjapong,Italy,
70,Dapo Afolayan,England,
70,Felix Agu,Germany,
70,Naouirou Ahamada,France,
70,Lucas Ahijado,Spain,
70,Marian Aioani,Romania,
70,Semi Ajayi,Nigeria,
70,Samet Akaydın,Turkey,
70,Ilias,Spain,
70,Gökhan Akkan,Turkey,
70,Saleh Al Amri,Saudi Arabia,
70,Sultan Al Ghannam,Saudi Arabia,
70,Sami Al Khaibari,Saudi Arabia,
70,Musa Al Tamari,Jordan,
70,Marc Albrighton,England,
70,Jordy Alcívar,Ecuador,
70,Alkain,Spain,
70,Jim Allevinah,Gabon,
70,Ricardo Santos,Portugal,
70,Giorgio Altare,Italy,
70,Viti Rozada,Spain,
70,Antony,Brazil,
70,Bruno Amione,Argentina,
70,José Amo,Spain,
70,Mikael Anderson,Iceland,
70,Franko Andrijašević,Croatia,
70,Adil Aouchiche,France,
70,Julian Araujo,Mexico,
70,Lucas Arce,Argentina,
70,Jorge Arias,Colombia,
70,Alexis Arias,Peru,
70,José Arnáiz,Spain,
70,Zoran Arsenić,Croatia,
70,Ahmet Arslan,Germany,
70,Andrei Artean,Romania,
70,Joel Asoro,Sweden,
70,Britt Assombalonga,Congo DR,
70,Gustavo Assunção,Brazil,
70,Jani Atanasov,North Macedonia,
70,Atienza,Spain,
70,Noah Atubolu,Germany,
70,Carlos Auzqui,Argentina,
70,Írven Ávila,Peru,
70,Paulo Azzi,Brazil,
70,Volkan Babacan,Turkey,
70,Juninho Bacuna,Curaçao,
70,Aliou Badji,Senegal,
70,Miguel Baeza,Spain,
70,Sinan Bakış,Turkey,
70,William Balikwisha,Congo DR,
70,Alexandru Băluță,Romania,
70,Lameck Banda,Zambia,
70,Shandon Baptiste,Grenada,
70,Tai Baribo,Israel,
70,Alain Baroja,Venezuela,
70,Álvaro Barreal,Argentina,
70,Michael Barrios,Colombia,
70,Filipe Soares,Portugal,
70,Alex Soares,Portugal,
70,Modou Barrow,Gambia,
70,Kyle Bartley,England,
70,Samuel Bastien,Congo DR,
70,Danny Batth,England,
70,Dylan Batubinsika,Congo DR,
70,Daniel Batz,Germany,
70,Robert Bauer,Germany,
70,Dominik Baumgartner,Austria,
70,Jon Bautista,Spain,
70,Vakoun Issouf Bayo,Côte d'Ivoire,
70,Finn Ole Becker,Germany,
70,Chris Bedia,Côte d'Ivoire,
70,Abdelkader Bedrane,Algeria,
70,Maximilian Beier,Germany,
70,Alexis Beka Beka,France,
70,Alessandro Bellemo,Italy,
70,Ahmad Benali,Libya,
70,Carlos Benavídez,Uruguay,
70,Leandro Benegas,Chile,
70,Oliver Berg,Norway,
70,Marcus Berg,Sweden,
70,Robert Berić,Slovenia,
70,Álex Bermejo,Spain,
70,Bermejo,Spain,
70,Matúš Bero,Slovakia,
70,Berrocal,Spain,
70,Omar Bertel,Colombia,
70,Nahir Besara,Sweden,
70,Marcus Bettinelli,England,
70,Giulian Biancone,France,
70,Davide Biraschi,Italy,
70,Colby Bishop,England,
70,Mariano Bíttolo,Argentina,
70,Stipe Biuk,Croatia,
70,Lautaro Blanco,Argentina,
70,Álex Blanco,Spain,
70,Brian Blasi,Argentina,
70,Latif Blessing,Ghana,
70,Merveille Bokadi,Congo DR,
70,Cristian Bordacahar,Argentina,
70,Jan Bořil,Czech Republic,
70,Hugo Boumous,Morocco,
70,Mehdi Bourabia,Morocco,
70,Sonny Bradley,England,
70,Robbie Brady,Republic of Ireland,
70,Diego Braghieri,Argentina,
70,Tim Breithaupt,Germany,
70,Mark Brink,Denmark,
70,Callum Brittain,England,
70,Felicio Brown Forbes,Costa Rica,
70,Alan Browne,Republic of Ireland,
70,Joe Bryan,England,
70,Ola Brynhildsen,Norway,
70,André Bukia,Congo DR,
70,Onur Bulut,Turkey,
70,Andrei Burcă,Romania,
70,Guillermo Burdisso,Argentina,
70,Wouter Burger,Netherlands,
70,Leonardo Burián,Uruguay,
70,Reece Burke,England,
70,Maxime Busi,Belgium,
70,Zymer Bytyqi,Kosovo,
70,Johan Caballero,Colombia,
70,Alejandro Cabeza,Ecuador,
70,Gonzalo Verdú,Spain,
70,Mattia Caldara,Italy,
70,Franco Calderón,Argentina,
70,Tyrese Campbell,England,
70,Maximiliano Cantera,Uruguay,
70,Marco Capuano,Italy,
70,Antonio Caracciolo,Italy,
70,Andrea Carboni,Italy,
70,Gonzalo Carneiro,Uruguay,
70,Lionel Carole,France,
70,Rafael Carrascal,Colombia,
70,Adalberto Carrasquilla,Panama,
70,Guido Carrillo,Argentina,
70,Rasmus Carstensen,Denmark,
70,Santiago Cáseres,Argentina,
70,Eíran Cashin,Republic of Ireland,
70,Michele Castagnetti,Italy,
70,Gonzalo Castellani,Argentina,
70,Jesús Castillo,Peru,
70,Assan Ceesay,Gambia,
70,Ezequiel Centurión,Argentina,
70,Luca Ceppitelli,Italy,
70,Daniel Fuzato,Brazil,
70,Adam Gnezda Čerin,Slovenia,
70,Mert Çetin,Turkey,
70,Edwuin Cetré,Colombia,
70,Ricardo Mangas,Portugal,
70,Timmy Chandler,United States,
70,Anastasios Chatzigiovanis,Greece,
70,Leandro Chichizola,Argentina,
70,Choi Young Joon,Korea Republic,
70,Max Christiansen,Germany,
70,Dmytro Chyhrynskyi,Ukraine,
70,Jhon Cifuente,Ecuador,
70,Ibrahim Cissé,France,
70,Steve Clark,United States,
70,Leighton Clarkson,England,
70,Elias Cobbaut,Belgium,
70,Maxime Colin,France,
70,Lucas Colitto,Argentina,
70,Álex Collado,Spain,
70,Aaron Collins,Wales,
70,José Contreras,Venezuela,
70,Sébastien Corchia,France,
70,Kamil Çörekçi,Turkey,
70,Mateo Coronel,Argentina,
70,Washington Corozo,Ecuador,
70,Rober Correa,Spain,
70,Àlex Corredera,Spain,
70,Guzmán Corujo,Uruguay,
70,Aldo Corzo,Peru,
70,Logan Costa,Cape Verde Islands,
70,Gabriel Costa,Peru,
70,Matteo Cotali,Italy,
70,Gaëtan Courtet,France,
70,José Crespo,Spain,
70,Charlie Cresswell,England,
70,William Cuesta,Colombia,
70,Joffrey Cuffaut,France,
70,Jason Cummings,Australia,
70,Pedro Sá,Portugal,
70,Wylan Cyprien,France,
70,Marco D'Alessandro,Italy,
70,João Gamboa,Portugal,
70,Leonardo Lopes,Portugal,
70,Gustavo,Brazil,
70,Mats Møller Dæhli,Norway,
70,Johan Dahlin,Sweden,
70,Harry Darling,England,
70,Lukas Daschner,Germany,
70,Mohammed Dauda,Ghana,
70,Adam Davies,Wales,
70,Ulises Dávila,Mexico,
70,Leif Davis,England,
70,De La Fuente,Spain,
70,Hernán De La Fuente,Argentina,
70,Pedrão,Brazil,
70,Afonso Sousa,Portugal,
70,Nicolas De Préville,France,
70,Daniel,Brazil,
70,Fabiano Souza,Brazil,
70,Jordy de Wijs,Netherlands,
70,Ciprian Deac,Romania,
70,Del Moral,Spain,
70,Mark Delgado,United States,
70,Olivier Deman,Belgium,
70,Muhammet Demir,Turkey,
70,Alec Deneumostier,Peru,
70,Nelson Deossa,Colombia,
70,Halil İbrahim Dervişoğlu,Turkey,
70,Rémy Descamps,France,
70,José Devecchi,Argentina,
70,Valerio Di Cesare,Italy,
70,Raffaele Di Gennaro,Italy,
70,Matteo Di Giusto,Switzerland,
70,Abdoulay Diaby,Mali,
70,Ismaël Chester Diallo,Côte d'Ivoire,
70,Moussa Diarra,Mali,
70,Juan Cruz,Spain,
70,Pedro Díaz,Spain,
70,Bakaye Dibassy,Mali,
70,Famara Diédhiou,Senegal,
70,Kevin Diks,Netherlands,
70,Mohammed Diomande,Côte d'Ivoire,
70,Federico Dionisi,Italy,
70,George Dobson,England,
70,Tyrhys Dolan,England,
70,Alfredo Donnarumma,Italy,
70,Jonathan Dos Santos,Uruguay,
70,Lucas João,Angola,
70,Daniel Penha,Brazil,
70,Ismaël Doukouré,France,
70,Artem Dovbyk,Ukraine,
70,Nikola Dovedan,Austria,
70,Mohamed Dräger,Tunisia,
70,Radu Drăgușin,Romania,
70,Cody Drameh,England,
70,Ibrahim Drešević,Kosovo,
70,Matthieu Dreyer,France,
70,Josip Drmić,Switzerland,
70,Vladyslav Dubinchak,Ukraine,
70,Jeremy Dudziak,Tunisia,
70,Marko Dugandžić,Croatia,
70,Jimmy Dunne,Republic of Ireland,
70,Jefferson Duque,Colombia,
70,Erik Durm,Germany,
70,Lyndon Dykes,Scotland,
70,İrfan Can Eğribayat,Turkey,
70,Farid El Melali,Algeria,
70,Eren Elmalı,Turkey,
70,Julio César Enciso,Paraguay,
70,Eraso,Spain,
70,Juan Espínola,Paraguay,
70,Andrey Estupiñán,Colombia,
70,Ched Evans,Wales,
70,Diego Fagundez,Uruguay,
70,Franco Fagúndez,Uruguay,
70,Cláudio Falcão,Brazil,
70,Maximiliano Falcón,Uruguay,
70,Mamadou Fall,Senegal,
70,Wuilker Faríñez,Venezuela,
70,Kaiky,Brazil,
70,Tomané,Portugal,
70,Julián Fernández,Argentina,
70,Matías Fernández,Chile,
70,Nicolás Fernández,Argentina,
70,Fernando Fernández,Paraguay,
70,Roberto Nicolás Fernández,Uruguay,
70,Álvaro Fernández,Spain,
70,Gianluca Ferrari,Argentina,
70,Jota Silva,Portugal,
70,Nicolás Ferreyra,Argentina,
70,Dominik Fitz,Austria,
70,Edison Flores,Peru,
70,Mamadou Fofana,Mali,
70,Moryké Fofana,Côte d'Ivoire,
70,Michael Folorunsho,Italy,
70,Fontàs,Spain,
70,Carlos Forbs,Portugal,
70,Marcus Forss,Finland,
70,Francesco Forte,Italy,
70,Rodrigo Martins,Portugal,
70,Iver Fossum,Norway,
70,Matija Frigan,Croatia,
70,Ruben Gabrielsen,Norway,
70,Pablo Galdames,Chile,
70,Sam Gallagher,England,
70,Mattheus Oliveira,Brazil,
70,Lucas Gamba,Argentina,
70,Fran Gámez,Spain,
70,Cristian Ganea,Romania,
70,Diego García,Uruguay,
70,Imanol,Spain,
70,Juanma García,Spain,
70,Óscar Pinchi,Spain,
70,Walter Gargano,Uruguay,
70,Stefan Gartenmann,Denmark,
70,Jusuf Gazibegović,Bosnia and Herzegovina,
70,César Gelabert,Spain,
70,Jérémy Gélin,France,
70,Denis Genreau,Australia,
70,Pieter Gerkens,Belgium,
70,Abdulrahman Ghareeb,Saudi Arabia,
70,Lautaro Giaccone,Argentina,
70,Benedikt Gimber,Germany,
70,Milton Giménez,Argentina,
70,Daniel Ginczek,Germany,
70,Josh Ginnelly,England,
70,Federico Girotti,Argentina,
70,Goh Young Jun,Korea Republic,
70,Camacho,Portugal,
70,Gastón Gómez,Argentina,
70,Roderick Miranda,Portugal,
70,Gastón González,Argentina,
70,Oumar Gonzalez,Cameroon,
70,Joan González,Spain,
70,Diego González,Spain,
70,Borja Bastón,Spain,
70,Jaume Grau,Spain,
70,Etienne Green,England,
70,Anto Grgić,Switzerland,
70,Andreas Gruber,Austria,
70,Marc Gual,Spain,
70,Guerrero,Spain,
70,Evann Guessand,France,
70,Tomás Guidara,Argentina,
70,Guima,Portugal,
70,Rafik Guitane,France,
70,Simon Gustafson,Sweden,
70,Kevin Gutiérrez,Argentina,
70,Yeison Guzmán,Colombia,
70,Ha Chang Rae,Korea Republic,
70,Hayden Hackney,England,
70,Florent Hadergjonaj,Kosovo,
70,Kian Hansen,Denmark,
70,André Hansen,Norway,
70,Emil Hansson,Sweden,
70,Hákon Arnar Haraldsson,Iceland,
70,Doğucan Haspolat,Turkey,
70,Kristoffer Haugen,Norway,
70,Kylian Hazard,Belgium,
70,Michael Hector,Jamaica,
70,Ryan Hedges,Wales,
70,Matt Hedges,United States,
70,Niklas Hedl,Austria,
70,Simon Hedlund,Sweden,
70,Gauthier Hein,France,
70,Rouwen Hennings,Germany,
70,Vladimir Hernández,Colombia,
70,Javi Hernández,Spain,
70,Moritz Heyer,Germany,
70,Scott Hogan,Republic of Ireland,
70,Libor Holík,Czech Republic,
70,Emil Holm,Sweden,
70,Carlo Holse,Denmark,
70,Gerrit Holtmann,Philippines,
70,Hong Chul,Korea Republic,
70,Mathias Honsak,Austria,
70,Jannes Horn,Germany,
70,Majid Hosseini,Iran,
70,Jonny Howson,England,
70,Andrew Hughes,Wales,
70,Niklas Hult,Sweden,
70,Adrien Hunou,France,
70,Romario Ibarra,Ecuador,
70,Salvador Ichazo,Uruguay,
70,Pietro Iemmello,Italy,
70,Jesús Imaz,Spain,
70,Kastriot Imeri,Switzerland,
70,Juan Infante,Argentina,
70,Emanuel Insua,Argentina,
70,Insua,Spain,
70,Andrei Ivan,Romania,
70,Lachlan Jackson,Australia,
70,Filip Jagiełło,Poland,
70,Ablie Jallow,Gambia,
70,Robin Jansson,Sweden,
70,Leonardo Jara,Argentina,
70,Adis Jasic,Austria,
70,Corentin Jean,France,
70,Artur Jędrzejczyk,Poland,
70,Peter Vindahl Jensen,Denmark,
70,Reinier,Brazil,
70,Jesús Jiménez,Spain,
70,Dennis Johnsen,Norway,
70,Sean Johnson,United States,
70,Daniel Johnson,Jamaica,
70,Filip Jörgensen,Denmark,
70,Ju Se Jong,Korea Republic,
70,Simen Juklerød,Norway,
70,Jhojan Julio,Ecuador,
70,Sory Kaba,Guinea,
70,Hassan Kadish,Saudi Arabia,
70,Lovre Kalinić,Croatia,
70,Yayah Kallon,Sierra Leone,
70,Samuel Kalu,Nigeria,
70,Bingourou Kamara,Senegal,
70,Kei Kamara,Sierra Leone,
70,Takuro Kaneko,Japan,
70,Kang Sang Woo,Korea Republic,
70,Kenan Karaman,Turkey,
70,Erce Kardeşler,Turkey,
70,Mandela Keita,Belgium,
70,Cheick Keita,France,
70,Martin Kelly,England,
70,Reda Khadra,Germany,
70,Kim Kee Hee,Korea Republic,
70,Kim Do Hyeok,Korea Republic,
70,Kim Jin Hyuk,Korea Republic,
70,Stephen Kingsley,Scotland,
70,Joshua Kitolano,Norway,
70,Sofian Kiyine,Morocco,
70,Philipp Klement,Germany,
70,Ko Jae Hyeon,Korea Republic,
70,Moussa Koné,Senegal,
70,Ibrahima Koné,Mali,
70,Terence Kongolo,Netherlands,
70,Giannis Konstantelias,Greece,
70,Leonardo Koutris,Greece,
70,Viktor Kovalenko,Ukraine,
70,Kacper Kozłowski,Poland,
70,Kazuki Kozuka,Japan,
70,Michiel Kramer,Netherlands,
70,Matías Kranevitter,Argentina,
70,Nicolai Larsen,Denmark,
70,Joaquín Laso,Argentina,
70,Josh Laurent,England,
70,Julien Le Cardinal,France,
70,Antoine Leautey,France,
70,Lee Han Beom,Korea Republic,
70,Lee Yeong Jae,Korea Republic,
70,Lee Jin Hyun,Korea Republic,
70,Lee Chung Yong,Korea Republic,
70,Robert Leipertz,Germany,
70,Toni Leistner,Germany,
70,Tomás Araújo,Portugal,
70,Brayan León,Colombia,
70,Luis Fernando León,Ecuador,
70,Ryan Leonard,England,
70,Oscar Lewicki,Sweden,
70,Andreas Linde,Sweden,
70,Liu Binbin,China PR,
70,Gautier Lloris,France,
70,Saba Lobjanidze,Georgia,
70,Joe Lolley,England,
70,George Long,England,
70,Santiago Longo,Argentina,
70,Pablo López,Uruguay,
70,Julien Lopez,Algeria,
70,Marcos López,Peru,
70,Lluís López,Spain,
70,Jhilmar Lora,Peru,
70,Daniel Lovitz,United States,
70,Jamal Lowe,Jamaica,
70,Leandro Lozano,Uruguay,
70,Gustav Ludwigson,Sweden,
70,Gonzalo Luján,Argentina,
70,Joe Lumley,England,
70,Fabian Lustenberger,Switzerland,
70,Lefteris Lyratzis,Greece,
70,André Ferreira,Portugal,
70,Matej Maglica,Croatia,
70,Raffaele Maiello,Italy,
70,Radosław Majecki,Poland,
70,Cephas Malele,Switzerland,
70,Yunus Mallı,Turkey,
70,Facundo Mallo,Uruguay,
70,Maurice Malone,Germany,
70,Leonardo Mancuso,Italy,
70,Anthony Mandréa,Algeria,
70,Thomas Mangani,France,
70,Myziane Maolida,France,
70,Sékou Mara,France,
70,Nikola Maraš,Serbia,
70,Vincent Marchetti,France,
70,Emiliano Marcondes,Denmark,
70,Diego Mariño,Spain,
70,Oscar Taty Maritu,Congo DR,
70,Iván Márquez,Spain,
70,José Mari,Spain,
70,Javi Martínez,Spain,
70,Álex Martínez,Spain,
70,Ángelo Martino,Argentina,
70,Iván Martos,Spain,
70,Aleš Matějů,Czech Republic,
70,Facundo Mater,Argentina,
70,Marc Mateu,Spain,
70,Uroš Matić,Serbia,
70,Henning Matriciani,Germany,
70,Chrislain Matsima,France,
70,Mamadou Mbaye,Senegal,
70,Isaac Mbenza,Belgium,
70,James McAtee,England,
70,Sam McCallum,England,
70,Ali McCann,Northern Ireland,
70,Dax McCarty,United States,
70,Ross McCrorie,Scotland,
70,Flavio,Brazil,
70,Alejandro Medina,Argentina,
70,Yakou Méïté,Côte d'Ivoire,
70,Marcelo Meli,Argentina,
70,Dario Melnjak,Croatia,
70,Armando Méndez,Uruguay,
70,Jérémy Ménez,France,
70,Gideon Mensah,Ghana,
70,Meseguer,Spain,
70,Karol Mets,Estonia,
70,Melle Meulensteen,Netherlands,
70,Eric Meza,Argentina,
70,Giannis Michailidis,Greece,
70,Pedro Mendes,Portugal,
70,Bojan Miovski,North Macedonia,
70,Ignasi Miquel,Spain,
70,Ignacio Miramón,Argentina,
70,Koji Miyoshi,Japan,
70,Filip Mladenović,Serbia,
70,Ryan Mmaee,Morocco,
70,Sadegh Moharrami,Iran,
70,Tobias Mohr,Germany,
70,Mollejo,Spain,
70,Walter Montoya,Argentina,
70,Alfredo Morales,United States,
70,Jon Morcillo,Spain,
70,Paulo Estrela,Portugal,
70,Sávio,Brazil,
70,Víctor Moreno,Colombia,
70,Marcelo Moreno Martins,Bolivia,
70,Aidan Morris,United States,
70,Olimpiu Moruțan,Romania,
70,Rafa Mújica,Spain,
70,Jackson Muleka,Congo DR,
70,Jannik Müller,Germany,
70,Abdul Mumin,Ghana,
70,Radosław Murawski,Poland,
70,Thomas Murg,Austria,
70,Damián Musto,Argentina,
70,Junior Mwanga,France,
70,Andrey Santos,Brazil,
70,Mickaël Nadé,France,
70,Juan Ignacio Nardoni,Argentina,
70,Alassane Ndao,Senegal,
70,Dan Ndoye,Switzerland,
70,Sean Nealis,United States,
70,Loïc Négo,Hungary,
70,Dan Neil,England,
70,Phil Neumann,Germany,
70,Roman Neustädter,Russia,
70,Filipe Ferreira,Portugal,
70,Ivan Nevistić,Croatia,
70,Joe Newell,England,
70,Yvan Neyou,Cameroon,
70,Jeremy Ngakia,England,
70,Håvard Nielsen,Norway,
70,Riad Nouri,France,
70,Bartosz Nowak,Poland,
70,Miguel Cardoso,Portugal,
70,Callum O'Dowda,Republic of Ireland,
70,Jay O'Shea,Republic of Ireland,
70,Lawrence Ofori,Ghana,
70,Chiedozie Ogbene,Republic of Ireland,
70,Florent Ogier,France,
70,Braian Ojeda,Paraguay,
70,Chima Okoroji,England,
70,Maduka Okoye,Nigeria,
70,Kiko Olivas,Spain,
70,Jorge Fernandes,Portugal,
70,Kenneth Omeruo,Nigeria,
70,Andrew Omobamidele,Republic of Ireland,
70,Ado Onaiwu,Japan,
70,Nicolás Oroz,Argentina,
70,Kevin Ortiz,Argentina,
70,Joao Ortiz,Ecuador,
70,Horacio Orzán,Argentina,
70,Gabriel Osho,England,
70,Milutin Osmajić,Montenegro,
70,Yordan Osorio,Venezuela,
70,Levin Öztunalı,Germany,
70,Sergi Palencia,Spain,
70,Victor Pálsson,Iceland,
70,Miloš Pantović,Serbia,
70,Aitor Paredes,Spain,
70,Park Seung Wook,Korea Republic,
70,Nicolás Pasquini,Argentina,
70,Felix Passlack,Germany,
70,Louis Patris,Belgium,
70,Leonardo Pavoletti,Italy,
70,Matty Pearson,England,
70,Tomáš Pekhart,Czech Republic,
70,Nathan,Brazil,
70,Timothée Pembélé,France,
70,Alexandre Penetra,Portugal,
70,Juan Carlos Pereira,Colombia,
70,Sebastián Pérez,Colombia,
70,Njegoš Petrović,Serbia,
70,Patrick Pflücke,Germany,
70,Harry Pickering,England,
70,Hamilton Piedra,Ecuador,
70,Iván Pillud,Argentina,
70,Markus Pink,Austria,
70,Robert Piris Da Motta,Paraguay,
70,Mauro Pittón,Argentina,
70,Julian Pollersbeck,Germany,
70,Andy Polo,Peru,
